,cpg
0,cg05803631
1,cg01444397
2,cg08764927
3,cg13168221
4,cg11393848
5,cg12775742
6,cg01728495
7,cg24459792
8,cg07568430
9,cg02361903
10,cg18892169
11,cg06819473
12,cg02861056
13,cg10664272
14,cg27383365
15,cg05772104
16,cg07682434
17,cg23963397
18,cg22923827
19,cg25515269
20,cg14951497
21,cg00676801
22,cg25856179
23,cg18854666
24,cg12912690
25,cg14508890
26,cg19972858
27,cg20927312
28,cg23072823
29,cg14772599
30,cg16032408
31,cg24283093
32,cg20855344
33,cg03341377
34,cg26162331
35,cg00262061
36,cg19838154
37,cg19806398
38,cg02519681
39,cg14707269
40,cg05795931
41,cg25382848
42,cg17216759
43,cg06806080
44,cg15360181
45,cg22082709
46,cg04807594
47,cg21457909
48,cg20906621
49,cg15463966
50,cg09658678
51,cg21978128
52,cg16764781
53,cg13518031
54,cg04811945
55,cg24819835
56,cg00849943
57,cg00119197
58,cg01137708
59,cg09390974
60,cg15409712
61,cg13941153
62,cg03364781
63,cg07669182
64,cg22858170
65,cg17621438
66,cg07850154
67,cg23008153
68,cg10012394
69,cg16485558
70,cg14591786
71,cg17370163
72,cg21138501
73,cg09824255
74,cg03850213
75,cg27068707
76,cg26972389
77,cg25796098
78,cg03446526
79,cg03124636
80,cg12232308
81,cg17389738
82,cg20178172
83,cg08384314
84,cg13804182
85,cg02157827
86,cg16331823
87,cg18650716
88,cg17067528
89,cg13630962
90,cg18361467
91,cg09131512
92,cg26928531
93,cg20724257
94,cg12736254
95,cg15820961
96,cg24767041
97,cg05135714
98,cg18963307
99,cg17392730
100,cg26644734
101,cg05693489
102,cg00791074
103,cg05977992
104,cg25726357
105,cg10102384
106,cg18825119
107,cg26280713
108,cg03535284
109,cg21652958
110,cg22550299
111,cg16751451
112,cg03860890
113,cg06601993
114,cg14479884
115,cg15251779
116,cg17446824
117,cg04382077
118,cg12516305
119,cg06007331
120,cg19724470
121,cg10887366
122,cg20434666
123,cg07345108
124,cg17618808
125,cg17770886
126,cg27138088
127,cg12731773
128,cg12776156
129,cg16151451
130,cg24869272
131,cg24134897
132,cg05608543
133,cg10540304
134,cg24754334
135,cg01618083
136,cg00808969
137,cg02537108
138,cg27423177
139,cg10447982
140,cg18996663
141,cg13185030
142,cg17403875
143,cg19899505
144,cg04260307
145,cg15352829
146,cg21012737
147,cg20192481
148,cg16899442
149,cg01680844
150,cg11059800
151,cg08139238
152,cg05506498
153,cg16757984
154,cg07477034
155,cg14399851
156,cg01392772
157,cg16347279
158,cg08661469
159,cg17068985
160,cg14721618
161,cg03752138
162,cg16997989
163,cg25769020
164,cg17298666
165,cg07126263
166,cg01281285
167,cg21481141
168,cg23042318
169,cg03834909
170,cg08902698
171,cg17969902
172,cg17612991
173,cg10375456
174,cg13720472
175,cg22874046
176,cg20036207
177,cg23443660
178,cg16740905
179,cg13402773
180,cg06238491
181,cg17713010
182,cg23672828
183,cg09828641
184,cg02957488
185,cg03984405
186,cg14215390
187,cg21765224
188,cg08013810
189,cg11331678
190,cg24815934
191,cg07274406
192,cg20377673
193,cg02877808
194,cg19751930
195,cg10268711
196,cg00952322
197,cg03697629
