ID,UCSC_RefGene_Group,UCSC_RefGene_Name
cg00035864,TSS1500,TTTY18
cg00050873,Body;TSS1500,TSPY4;FAM197Y2
cg00061679,Body;Body;Body,DAZ1;DAZ4;DAZ4
cg00063477,Body,EIF1AY
cg00121626,Body,BCORL2
cg00212031,TSS200,TTTY14
cg00213748,,
cg00214611,1stExon;5'UTR,TMSB4Y;TMSB4Y
cg00223952,5'UTR,PCDH11Y
cg00243321,,
cg00271873,,
cg00272582,TSS1500;TSS200;TSS1500,ZFY;ZFY;ZFY
cg00308367,Body;Body;Body,KDM5D;KDM5D;KDM5D
cg00311963,TSS1500;TSS1500,LOC100101121;TTTY23
cg00335297,TSS1500;TSS1500,RBMY1F;RBMY2FP
cg00455876,,
cg00479827,Body,NCRNA00185
cg00543493,Body,TSPY4
cg00576139,Body;Body,LOC100101115;TTTY21
cg00599377,,
cg00639218,,
cg00676506,TSS200,RPS4Y2
cg00679624,,
cg00762184,Body,TTTY15
cg00789540,,
cg00876332,Body,BCORL2
cg00903245,Body;Body,TSPY4;FAM197Y2
cg00975375,,
cg01053349,TSS1500,TGIF2LY
cg01061520,,
cg01073572,Body;Body;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg01086462,,
cg01141334,,
cg01209756,,
cg01215343,,
cg01311227,1stExon;5'UTR,RPS4Y1;RPS4Y1
cg01375382,TSS200,RPS4Y1
cg01426558,TSS1500;TSS1500,DDX3Y;DDX3Y
cg01463110,,
cg01498999,Body;Body;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg01523029,Body,TSPY4
cg01644972,TSS200,EIF1AY
cg01707559,TSS200;TSS200;TSS200,TBL1Y;TBL1Y;TBL1Y
cg01757887,Body;Body;Body,TTTY4;TTTY4B;TTTY4C
cg01828798,TSS1500,TTTY19
cg01882666,,
cg01900066,3'UTR,EIF1AY
cg01911472,5'UTR;5'UTR;5'UTR,TBL1Y;TBL1Y;TBL1Y
cg01943289,TSS1500,RPS4Y2
cg01984154,Body,RPS4Y1
cg01988452,TSS1500,EIF1AY
cg02002345,TSS1500;TSS1500;TSS1500,TBL1Y;TBL1Y;TBL1Y
cg02004872,1stExon;5'UTR,TMSB4Y;TMSB4Y
cg02011394,TSS1500,TSPY4
cg02012379,TSS200,RPS4Y2
cg02050847,1stExon;5'UTR,RPS4Y2;RPS4Y2
cg02056550,TSS1500,TTTY18
