index,mean
cg00000884,0.82383794
cg00011994,0.12899211
cg00099091,0.070816666
cg00108454,0.47923875
cg00119197,0.080838546
cg00136477,0.5170108
cg00215182,0.79952514
cg00255811,0.06320206
cg00259887,0.025421917
cg00262061,0.7523616
cg00271154,0.06875936
cg00318606,0.80926275
cg00357551,0.39621636
cg00366837,0.07841093
cg00396625,0.05317985
cg00404025,0.24887972
cg00423364,0.84016705
cg00441382,0.044832963
cg00473834,0.022175586
cg00492070,0.795067
cg00500176,0.46479362
cg00500498,0.14062884
cg00501904,0.7683297
cg00524289,0.87741154
cg00548060,0.8603463
cg00591844,0.047481164
cg00605038,0.034103494
cg00676801,0.72731584
cg00743788,0.13242298
cg00777968,0.040704936
cg00788362,0.044827633
cg00808969,0.32017487
cg00810752,0.84752446
cg00849943,0.05700545
cg00850167,0.05172
cg00872932,0.0700304
cg00881185,0.030715508
cg00889031,0.05642542
cg00933924,0.039988697
cg00946479,0.8374133
cg00952322,0.09914269
cg00965204,0.06663202
cg00979348,0.06365513
cg00985729,0.15451033
cg01013600,0.07400259
cg01031032,0.045227375
cg01066936,0.6493983
cg01073369,0.04122819
cg01137708,0.042708445
cg01167274,0.0473231
cg01180236,0.046700817
cg01182555,0.020346006
cg01290504,0.05632973
cg01295600,0.05688565
cg01318557,0.04004076
cg01357233,0.8041648
cg01392772,0.073503286
cg01422274,0.29008397
cg01441114,0.057477426
cg01511828,0.1251515
cg01512265,0.0688689
cg01585852,0.63232964
cg01595484,0.06473218
cg01601628,0.062225655
cg01618083,0.059794925
cg01623806,0.11568486
cg01636582,0.24120137
cg01641096,0.07779576
cg01665212,0.056204632
cg01680844,0.2893609
cg01702338,0.073493525
cg01745867,0.10351768
cg01749467,0.8491136
cg01897756,0.028406225
cg01897823,0.053266667
cg01931797,0.024375567
cg01935492,0.12619692
cg01944585,0.039848384
cg01952088,0.064175315
cg01983105,0.84921646
cg02026948,0.056785166
cg02083322,0.8452098
cg02169333,0.025599826
cg02183170,0.19302638
cg02183671,0.08227182
cg02221863,0.042694844
cg02235049,0.7686218
cg02237906,0.46818942
cg02245119,0.8838274
cg02251134,0.5068926
cg02281970,0.7160388
cg02291466,0.07879952
cg02337166,0.047918286
cg02361903,0.4114513
cg02367708,0.13124934
cg02441467,0.09031676
cg02481015,0.1741788
cg02487233,0.7724277
cg02493440,0.057952207
cg02519681,0.052116137
cg02537108,0.558904
cg02552137,0.8771198
cg02572956,0.8361902
cg02574319,0.172459
cg02589672,0.10978898
cg02621636,0.8203329
cg02636659,0.8461405
cg02644867,0.6821728
cg02674305,0.05561087
cg02695219,0.08242988
cg02735381,0.8319928
cg02756056,0.05779707
cg02774186,0.10584557
cg02814691,0.8657919
cg02823866,0.04138525
cg02861056,0.19185707
cg02877808,0.066516705
cg02902079,0.031689607
cg02915939,0.06366687
cg02923856,0.7820585
cg02937233,0.042414896
cg02957488,0.8981893
cg02976543,0.08692089
cg02980499,0.85076225
cg03000596,0.06966347
cg03004097,0.038279425
cg03046445,0.057871155
cg03056682,0.060178205
cg03101422,0.040049948
cg03116740,0.7180273
cg03124636,0.07503032
cg03138928,0.8431028
cg03150042,0.07242107
cg03151651,0.039933424
cg03223878,0.05143704
cg03296370,0.20660526
cg03321813,0.3189419
cg03337243,0.061727773
cg03337430,0.9011841
cg03342114,0.06869554
cg03364781,0.5849357
cg03375002,0.49720109
cg03446526,0.07015921
