chrName,markPos,markName
Y,8553009.0,cg00035864
Y,9363356.0,cg00050873
Y,25314171.0,cg00061679
Y,22741795.0,cg00063477
Y,21664296.0,cg00121626
Y,21239348.0,cg00212031
Y,8148233.0,cg00213748
Y,15815688.0,cg00214611
Y,4868996.0,cg00223952
Y,6133740.0,cg00243321
Y,14649908.0,cg00271873
Y,2802965.0,cg00272582
Y,21868532.0,cg00308367
Y,9747781.0,cg00311963
Y,24454527.0,cg00335297
Y,9385539.0,cg00455876
Y,21036986.0,cg00479827
Y,9342875.0,cg00543493
Y,6312218.0,cg00576139
Y,9745678.0,cg00599377
Y,14096487.0,cg00639218
Y,22917913.0,cg00676506
Y,17568445.0,cg00679624
Y,14774526.0,cg00762184
Y,9706621.0,cg00789540
Y,21664717.0,cg00876332
Y,9321293.0,cg00903245
Y,6173766.0,cg00975375
Y,3446859.0,cg01053349
Y,9478342.0,cg01061520
Y,16924422.0,cg01073572
Y,7429349.0,cg01086462
Y,13477785.0,cg01141334
Y,19671414.0,cg01209756
Y,10034551.0,cg01215343
Y,2709627.0,cg01311227
Y,2709598.0,cg01375382
Y,15015682.0,cg01426558
Y,14648161.0,cg01463110
Y,16939383.0,cg01498999
Y,9234365.0,cg01523029
Y,22737556.0,cg01644972
Y,6778695.0,cg01707559
Y,25114810.0,cg01757887
Y,8571457.0,cg01828798
Y,17571429.0,cg01882666
Y,22754881.0,cg01900066
Y,6781164.0,cg01911472
Y,22917296.0,cg01943289
Y,2718782.0,cg01984154
Y,22736528.0,cg01988452
Y,6777855.0,cg02002345
Y,15815552.0,cg02004872
Y,9194502.0,cg02011394
Y,22917894.0,cg02012379
Y,22918038.0,cg02050847
Y,8552374.0,cg02056550
Y,2804282.0,cg02105393
Y,14103651.0,cg02107461
Y,9194524.0,cg02126249
Y,7138198.0,cg02129146
Y,16634382.0,cg02233183
Y,22737591.0,cg02233190
Y,8146855.0,cg02272584
Y,14532022.0,cg02288797
Y,16945913.0,cg02340092
Y,23561638.0,cg02352633
Y,9384707.0,cg02402208
Y,8553302.0,cg02407581
Y,4870822.0,cg02432075
Y,4868397.0,cg02494853
Y,22680010.0,cg02522936
Y,2802968.0,cg02577797
Y,14075806.0,cg02582450
Y,9216456.0,cg02606988
Y,2803947.0,cg02616328
Y,10036321.0,cg02624968
Y,15814320.0,cg02730008
Y,9214477.0,cg02802508
Y,6778641.0,cg02839557
Y,2803127.0,cg02842889
Y,22737946.0,cg02884332
Y,9193029.0,cg03052502
Y,16634126.0,cg03055837
Y,15817871.0,cg03123709
Y,9385861.0,cg03155755
Y,21238472.0,cg03244189
Y,14077975.0,cg03258315
Y,15591101.0,cg03266527
Y,16941591.0,cg03278611
Y,13332435.0,cg03359666
Y,23566288.0,cg03416979
Y,15591607.0,cg03430010
Y,14074417.0,cg03441493
Y,9363365.0,cg03443143
Y,9745295.0,cg03515816
Y,3447157.0,cg03515901
Y,21668420.0,cg03533500
Y,9302758.0,cg03535417
Y,15016101.0,cg03601053
Y,17567897.0,cg03672679
Y,2803070.0,cg03683899
Y,14074773.0,cg03695421
Y,16635745.0,cg03706273
